imb_vector,tier,pms_over,pms_under,pms_unused,pms_used,pms_over_degree,min_cut
"0.04, 0.26",1,1,0,0,2,7,1360
"0.04, 0.27",1,1,0,0,2,7,1360
"0.04, 0.28",1,1,0,0,2,7,1360
"0.04, 0.29",1,1,0,0,2,7,1360
"0.04, 0.30",1,1,0,0,2,7,1360
"0.04, 0.31",1,1,0,0,2,7,1360
"0.04, 0.32",1,1,0,0,2,7,1360
"0.04, 0.33",1,1,0,0,2,7,1360
"0.04, 0.34",1,1,0,0,2,8,1280
"0.04, 0.35",1,1,0,0,2,8,1280
"0.04, 0.36",1,1,0,0,2,9,1280
"0.04, 0.37",1,1,0,0,2,9,1280
"0.04, 0.38",1,1,0,0,2,8,1280
"0.04, 0.39",1,1,0,0,2,8,1280
"0.04, 0.40",1,1,0,0,2,9,1280
"0.05, 0.00",1,2,0,0,2,6,1410
"0.05, 0.01",1,2,0,0,2,6,1390
"0.05, 0.02",1,2,0,0,2,6,1290
"0.05, 0.03",1,1,0,0,2,6,1290
"0.05, 0.04",1,1,0,0,2,9,1320
"0.05, 0.05",1,1,0,0,2,8,1280
"0.05, 0.06",1,1,0,0,2,9,1230
"0.05, 0.07",1,1,0,0,2,9,1240
"0.05, 0.08",1,1,0,0,2,9,1280
"0.05, 0.09",1,1,0,0,2,9,1280
"0.05, 0.10",1,1,0,0,2,9,1280
"0.05, 0.11",1,1,0,0,2,9,1280
"0.05, 0.12",1,1,0,0,2,9,1280
"0.05, 0.13",1,1,0,0,2,9,1280
"0.05, 0.14",1,1,0,0,2,9,1280
"0.05, 0.15",1,1,0,0,2,9,1280
"0.05, 0.16",1,1,0,0,2,9,1280
"0.05, 0.17",1,1,0,0,2,9,1280
"0.05, 0.18",1,1,0,0,2,9,1280
"0.05, 0.19",1,1,0,0,2,9,1280
"0.05, 0.20",1,1,0,0,2,9,1280
"0.05, 0.21",1,1,0,0,2,9,1280
"0.05, 0.22",1,1,0,0,2,9,1280
"0.05, 0.23",1,1,0,0,2,9,1280
"0.05, 0.24",1,1,0,0,2,9,1280
"0.05, 0.25",1,1,0,0,2,9,1280
"0.05, 0.26",1,1,0,0,2,9,1280
"0.05, 0.27",1,1,0,0,2,9,1280
"0.05, 0.28",1,1,0,0,2,9,1280
"0.05, 0.29",1,1,0,0,2,9,1280
"0.05, 0.30",1,1,0,0,2,9,1280
"0.05, 0.31",1,1,0,0,2,9,1280
"0.05, 0.32",1,1,0,0,2,9,1280
"0.05, 0.33",1,1,0,0,2,9,1280
"0.05, 0.34",1,1,0,0,2,9,1280
"0.05, 0.35",1,1,0,0,2,9,1280
"0.05, 0.36",1,1,0,0,2,9,1280
"0.05, 0.37",1,1,0,0,2,9,1240
"0.05, 0.38",1,1,0,0,2,8,1240
"0.05, 0.39",1,1,0,0,2,9,1280
"0.05, 0.40",1,1,0,0,2,8,1280
"0.06, 0.00",1,2,0,0,2,6,1390
"0.06, 0.01",1,1,0,0,2,7,1370
"0.06, 0.02",1,2,0,0,2,6,1390
"0.06, 0.03",1,1,0,0,2,7,1450
"0.06, 0.04",1,1,0,0,2,9,1270
"0.06, 0.05",1,1,0,0,2,9,1240
"0.06, 0.06",1,1,0,0,2,9,1240
"0.06, 0.07",1,1,0,0,2,12,1360
"0.06, 0.08",1,1,0,0,2,11,1240
"0.06, 0.09",1,1,0,0,2,12,1240
"0.06, 0.10",1,1,0,0,2,12,1240
"0.06, 0.11",1,1,0,0,2,12,1240
"0.06, 0.12",1,1,0,0,2,12,1240
"0.06, 0.13",1,1,0,0,2,12,1240
"0.06, 0.14",1,1,0,0,2,12,1240
"0.06, 0.15",1,1,0,0,2,12,1240
"0.06, 0.16",1,1,0,0,2,12,1240
