62, 37, 23, 56, 55, 21, 53, 44, 99
63, 55, 22, 55, 47, 36, 39, 33, 99
64, 43, 34, 39, 59, 25, 46, 41, 99
65, 63, 19, 61, 51, 32, 62, 30, 99
66, 48, 13, 57, 61, 31, 54, 37, 99
67, 64, 48, 56, 43, 18, 41, 41, 99
68, 55, 25, 60, 62, 45, 63, 33, 99
69, 56, 23, 63, 62, 24, 43, 44, 99
70, 45, 30, 61, 32, 30, 52, 48, 99
71, 56, 18, 53, 60, 33, 53, 31, 99
72, 50, 26, 56, 55, 26, 43, 38, 99
73, 57, 16, 60, 43, 39, 48, 34, 99
74, 49, 42, 39, 60, 21, 37, 44, 99
75, 56, 22, 64, 52, 42, 60, 31, 99
76, 51, 31, 58, 64, 22, 34, 44, 99
77, 26, 19, 62, 56, 32, 51, 46, 99
78, 66, 25, 51, 49, 18, 49, 39, 99
79, 56, 16, 56, 58, 37, 52, 30, 99
80, 60, 18, 50, 46, 27, 52, 40, 99
81, 60, 38, 48, 39, 40, 32, 31, 99
82, 30, 21, 61, 60, 28, 60, 47, 99
83, 57, 33, 60, 32, 20, 46, 47, 99
84, 72, 19, 49, 44, 42, 54, 35, 99
85, 42, 20, 56, 61, 28, 51, 40, 99
86, 40, 29, 61, 62, 17, 51, 37, 99
87, 61, 17, 47, 54, 45, 48, 30, 99
88, 47, 36, 54, 61, 24, 35, 45, 99
89, 57, 20, 52, 54, 42, 63, 43, 99
90, 51, 33, 58, 63, 25, 39, 35, 99
91, 60, 19, 53, 31, 41, 66, 39, 99
92, 50, 29, 53, 67, 22, 49, 32, 99
93, 59, 17, 40, 38, 44, 60, 42, 99
94, 43, 32, 59, 62, 23, 57, 29, 99
95, 55, 18, 61, 54, 42, 50, 41, 99
96, 45, 28, 56, 61, 22, 52, 36, 99
97, 55, 17, 63, 52, 42, 54, 31, 99
98, 60, 12, 46, 59, 24, 61, 41, 99
99, 52, 41, 61, 43, 15, 59, 42, 99
100, 53, 25, 46, 61, 28, 54, 29, 99
101, 69, 16, 37, 55, 29, 48, 40, 99
102, 63, 25, 49, 46, 29, 50, 27, 99
103, 46, 28, 48, 50, 30, 46, 40, 99
104, 62, 17, 40, 53, 36, 54, 32, 99
105, 30, 32, 47, 60, 24, 58, 39, 99
106, 61, 18, 57, 54, 40, 48, 29, 99
107, 58, 26, 51, 54, 22, 42, 44, 99
108, 53, 16, 65, 58, 34, 55, 28, 99
109, 57, 40, 44, 47, 29, 36, 41, 99
110, 57, 22, 62, 58, 35, 63, 26, 99
111, 52, 14, 60, 58, 26, 49, 44, 99
112, 38, 42, 67, 32, 18, 56, 38, 99
113, 57, 23, 55, 18, 39, 57, 44, 99
114, 45, 28, 49, 66, 24, 48, 29, 99
115, 58, 17, 44, 36, 40, 63, 41, 99
116, 50, 24, 56, 64, 22, 47, 33, 99
117, 56, 16, 43, 38, 52, 55, 30, 99
118, 52, 38, 59, 65, 26, 50, 36, 99
119, 57, 21, 57, 60, 40, 59, 41, 99
120, 58, 33, 62, 60, 22, 39, 32, 99
121, 53, 19, 65, 57, 49, 55, 32, 99
122, 49, 38, 51, 61, 25, 36, 45, 99
123, 61, 21, 55, 34, 41, 56, 36, 99
124, 46, 37, 58, 58, 22, 39, 34, 99
125, 67, 20, 53, 46, 41, 58, 40, 99
126, 59, 14, 50, 63, 28, 58, 34, 99
127, 53, 39, 45, 57, 38, 35, 26, 99
128, 58, 21, 56, 57, 21, 60, 48, 99
129, 36, 38, 60, 37, 40, 42, 47, 99
130, 67, 21, 48, 45, 34, 64, 41, 99
131, 47, 28, 48, 64, 31, 49, 32, 99
132, 68, 17, 36, 56, 29, 59, 41, 99
133, 50, 28, 54, 58, 30, 40, 33, 99
134, 54, 19, 62, 41, 28, 48, 36, 99
135, 66, 41, 30, 51, 30, 35, 34, 99
136, 52, 22, 62, 52, 32, 66, 41, 99
137, 64, 32, 44, 41, 36, 45, 41, 99
138, 49, 18, 55, 64, 30, 65, 33, 99
139, 55, 19, 56, 51, 33, 45, 39, 99
140, 64, 23, 52, 57, 34, 41, 21, 99
141, 40, 26, 60, 49, 25, 44, 45, 99
142, 47, 26, 47, 55, 27, 42, 43, 99
143, 56, 16, 63, 58, 32, 54, 23, 99
144, 48, 36, 45, 40, 26, 52, 45, 99
145, 67, 20, 48, 42, 39, 64, 38, 99
146, 34, 35, 58, 54, 25, 53, 40, 99
147, 68, 20, 49, 48, 44, 54, 38, 99
148, 45, 16, 56, 61, 28, 55, 39, 99
149, 62, 26, 63, 41, 17, 49, 44, 99
150, 58, 27, 64, 60, 28, 38, 23, 99
151, 56, 16, 59, 34, 39, 59, 41, 99
152, 63, 34, 51, 47, 27, 53, 22, 99
153, 51, 19, 60, 58, 32, 63, 41, 99
154, 61, 30, 45, 44, 34, 55, 32, 99
155, 55, 18, 46, 65, 35, 42, 34, 99
156, 57, 28, 43, 56, 25, 43, 37, 99
157, 55, 17, 61, 32, 46, 53, 27, 99
158, 40, 39, 57, 60, 24, 29, 46, 99
159, 55, 21, 59, 50, 43, 66, 32, 99
160, 32, 39, 57, 59, 31, 39, 45, 99
161, 52, 21, 63, 63, 40, 55, 34, 99
162, 54, 24, 54, 58, 22, 46, 44, 99
163, 48, 15, 58, 50, 32, 64, 33, 99
164, 55, 22, 47, 61, 25, 44, 37, 99
165, 55, 16, 56, 42, 37, 43, 39, 99
166, 56, 12, 44, 63, 26, 59, 29, 99
167, 56, 32, 45, 46, 32, 39, 36, 99
168, 45, 18, 51, 57, 32, 55, 39, 99
169, 57, 32, 52, 37, 36, 50, 26, 99
170, 28, 23, 62, 58, 27, 49, 46, 99
171, 50, 18, 61, 33, 21, 59, 46, 99
172, 59, 25, 44, 31, 37, 68, 24, 99
173, 29, 18, 59, 63, 26, 46, 46, 99
174, 61, 25, 51, 42, 16, 57, 36, 99
175, 59, 16, 57, 57, 41, 45, 31, 99
176, 35, 30, 57, 60, 22, 50, 41, 99
177, 59, 18, 57, 45, 46, 47, 29, 99
178, 42, 25, 64, 61, 24, 43, 34, 99
179, 46, 16, 59, 50, 21, 52, 49, 99
180, 48, 40, 59, 50, 22, 49, 25, 99
181, 64, 22, 41, 54, 44, 65, 41, 99
182, 55, 29, 63, 60, 23, 38, 39, 99
183, 55, 17, 54, 30, 50, 68, 31, 99
184, 53, 30, 50, 55, 26, 56, 43, 99
185, 62, 18, 36, 54, 41, 50, 35, 99
186, 43, 41, 49, 60, 22, 53, 34, 99
187, 55, 22, 55, 56, 44, 54, 42, 99
188, 68, 41, 43, 61, 25, 27, 39, 99
189, 56, 22, 58, 53, 38, 61, 43, 99
190, 62, 26, 34, 60, 28, 60, 33, 99
191, 50, 24, 57, 48, 31, 45, 37, 99
192, 63, 15, 44, 43, 33, 61, 40, 99
193, 57, 43, 52, 60, 31, 30, 22, 99
194, 51, 23, 63, 54, 31, 63, 44, 99
195, 59, 30, 37, 54, 38, 46, 38, 99
196, 40, 18, 62, 60, 27, 60, 38, 99
197, 52, 40, 58, 58, 34, 36, 21, 99
198, 56, 22, 56, 56, 24, 63, 48, 99
199, 71, 18, 42, 47, 34, 58, 31, 99
200, 36, 17, 56, 59, 26, 62, 36, 99
201, 54, 17, 59, 49, 33, 44, 34, 99
202, 61, 16, 39, 58, 27, 55, 31, 99
203, 62, 32, 33, 62, 28, 40, 28, 99
204, 68, 18, 43, 63, 32, 61, 33, 99
205, 49, 40, 28, 64, 33, 50, 34, 99
206, 72, 22, 61, 55, 33, 56, 28, 99
207, 50, 25, 48, 53, 29, 50, 48, 99
208, 60, 29, 44, 53, 38, 42, 26, 99
209, 30, 17, 63, 58, 25, 55, 48, 99
210, 55, 36, 58, 55, 16, 40, 31, 99
211, 54, 20, 58, 50, 43, 61, 41, 99
212, 66, 20, 50, 64, 23, 50, 33, 99
213, 63, 25, 42, 46, 34, 45, 39, 99
214, 40, 23, 55, 55, 30, 54, 32, 99
215, 61, 33, 49, 35, 32, 40, 37, 99
216, 70, 19, 57, 50, 29, 48, 41, 99
217, 55, 34, 43, 62, 37, 37, 29, 99
218, 58, 19, 56, 61, 21, 62, 38, 99
219, 53, 17, 62, 54, 39, 57, 21, 99
220, 42, 41, 56, 53, 21, 36, 46, 99
221, 65, 22, 62, 56, 49, 61, 26, 99
222, 42, 14, 63, 62, 25, 64, 52, 99
223, 54, 39, 64, 48, 20, 47, 28, 99
224, 67, 21, 54, 51, 29, 61, 44, 99
225, 55, 40, 49, 42, 39, 40, 37, 99
226, 56, 22, 64, 52, 26, 63, 40, 99
227, 64, 40, 32, 56, 36, 36, 37, 99
228, 53, 22, 63, 58, 30, 60, 35, 99
229, 62, 20, 43, 44, 39, 58, 33, 99
230, 31, 23, 58, 62, 27, 54, 36, 99
231, 55, 24, 59, 49, 29, 51, 21, 99
