imb_vector,tier,pms_over,pms_under,pms_unused,pms_used,pms_over_degree,min_cut
"0.04, 0.18",1,1,0,1,2,8,2900
"0.04, 0.19",1,1,0,1,2,8,2900
"0.04, 0.20",1,1,0,1,2,8,2900
"0.04, 0.21",1,1,0,1,2,8,2900
"0.04, 0.22",1,1,0,1,2,8,2900
"0.04, 0.23",1,1,0,1,2,8,2900
"0.04, 0.24",1,1,0,1,2,8,2900
"0.04, 0.25",1,1,0,1,2,8,2900
"0.04, 0.26",1,1,0,1,2,8,2900
"0.04, 0.27",1,1,0,1,2,8,2900
"0.04, 0.28",1,1,0,1,2,8,2900
"0.04, 0.29",1,1,0,1,2,8,2900
"0.04, 0.30",1,1,0,1,2,8,2900
"0.04, 0.31",1,1,0,1,2,8,2900
"0.04, 0.32",1,1,0,1,2,8,2900
"0.04, 0.33",1,1,0,1,2,8,2900
"0.04, 0.34",1,1,0,1,2,8,2900
"0.04, 0.35",1,1,0,1,2,8,2900
"0.04, 0.36",1,1,0,1,2,8,2900
"0.04, 0.37",1,1,0,1,2,8,2900
"0.04, 0.38",1,1,0,1,2,8,2900
"0.04, 0.39",1,1,0,1,2,8,2900
"0.04, 0.40",1,1,0,1,2,8,2900
"0.05, 0.00",1,1,0,1,2,5,3260
"0.05, 0.01",0,0,0,1,2,0,3220
"0.05, 0.02",0,0,0,1,2,0,2940
"0.05, 0.03",0,0,0,1,2,0,3200
"0.05, 0.04",0,0,0,1,2,0,2980
"0.05, 0.05",0,0,0,1,2,0,2800
"0.05, 0.06",0,0,0,1,2,0,2760
"0.05, 0.07",1,1,0,1,2,5,3080
"0.05, 0.08",1,1,0,1,2,5,2940
"0.05, 0.09",1,1,0,1,2,7,2740
"0.05, 0.10",1,1,0,1,2,7,2840
"0.05, 0.11",1,1,0,1,2,7,2860
"0.05, 0.12",1,1,0,1,2,9,2840
"0.05, 0.13",1,1,0,1,2,9,2880
"0.05, 0.14",1,1,0,1,2,9,2880
"0.05, 0.15",1,1,0,1,2,9,2880
"0.05, 0.16",1,1,0,1,2,9,2880
"0.05, 0.17",1,1,0,1,2,9,2880
"0.05, 0.18",1,1,0,1,2,9,2880
"0.05, 0.19",1,1,0,1,2,9,2880
"0.05, 0.20",1,1,0,1,2,9,2880
"0.05, 0.21",1,1,0,1,2,9,2880
"0.05, 0.22",1,1,0,1,2,9,2880
"0.05, 0.23",1,1,0,1,2,9,2880
"0.05, 0.24",1,1,0,1,2,9,2880
"0.05, 0.25",1,1,0,1,2,9,2880
"0.05, 0.26",1,1,0,1,2,9,2880
"0.05, 0.27",1,1,0,1,2,9,2880
"0.05, 0.28",1,1,0,1,2,9,2880
"0.05, 0.29",1,1,0,1,2,9,2880
"0.05, 0.30",1,1,0,1,2,9,2880
"0.05, 0.31",1,1,0,1,2,9,2880
"0.05, 0.32",1,1,0,1,2,9,2880
"0.05, 0.33",1,1,0,1,2,9,2880
"0.05, 0.34",1,1,0,1,2,9,2880
"0.05, 0.35",1,1,0,1,2,9,2880
"0.05, 0.36",1,1,0,1,2,9,2880
"0.05, 0.37",1,1,0,1,2,9,2880
"0.05, 0.38",1,1,0,1,2,9,2880
"0.05, 0.39",1,1,0,1,2,9,2880
"0.05, 0.40",1,1,0,1,2,9,2880
"0.06, 0.00",1,1,0,1,2,5,3220
"0.06, 0.01",1,1,0,1,2,5,3160
"0.06, 0.02",1,1,0,1,2,5,3000
"0.06, 0.03",1,1,0,1,2,7,2920
"0.06, 0.04",0,0,0,1,2,0,2980
"0.06, 0.05",0,0,0,1,2,0,2860
"0.06, 0.06",0,0,0,1,2,0,2760
"0.06, 0.07",1,1,0,1,2,5,2760
